Kode,Var_1%,Var_99%
UNIQ.JK,-0.14848556320874423,0.14436364818584757
ARCI.JK,-0.15586000915471468,0.18046052631578982
MASB.JK,-0.040836944745395426,0.01848717532467527
BMHS.JK,-0.1537116731071842,0.17107225986015243
UVCR.JK,-0.2111546803721665,0.5207259820941061
HAIS.JK,-0.18175162955282165,0.07163646070161411
OILS.JK,-0.2543847312713264,0.17642909826043324
GPSO.JK,-0.1432,0.20411108280254767
MCOL.JK,-0.07091922822892557,0.42082504331069875
CMNT.JK,-0.10395462906192522,0.1098602553515848
GTSI.JK,-0.1516931488832604,0.16240003307962023
RSGK.JK,-0.08895463963607987,0.05035556629324936
RUNS.JK,-0.25197553569080616,0.5814896789680287
SBMA.JK,-0.292904321206334,0.3714120550684624
IDEA.JK,-0.2511646361174125,0.3868837234021877
KUAS.JK,-0.25432695106895875,0.16928357109380346
BOBA.JK,-0.0849678708486124,0.051371010588335264
MTEL.JK,-0.051820529568232646,0.07344618287234138
BINO.JK,-0.1251577497339355,0.07633889319471236
DEPO.JK,-0.0753055986159207,0.0963927937254307
CMRY.JK,-0.07042799877603256,0.11297292309043544
TAYS.JK,-0.18507080915840038,0.14490060501296453
WGSH.JK,-0.2668177106806216,0.20813723861300165
WMPP.JK,-0.1007566069906223,0.09620269240538476
RMKE.JK,-0.12782083815105605,0.4121345324688448
AVIA.JK,-0.11356725304181695,0.10397132188580792
OBMD.JK,-0.12028368794326241,0.2562399860675715
IPPE.JK,-0.22757142857142862,0.43245294474802637
NASI.JK,-0.22488906926406924,0.3899404761904769
BSML.JK,-0.19503106848919577,0.44643626220733684
DRMA.JK,-0.13809569853175271,0.297016668556095
ADMR.JK,-0.17839574898785426,0.1975742930591262
SEMA.JK,-0.21883352424589542,0.3236301369863014
ASLC.JK,-0.2092694512694513,0.18348896434634973
NETV.JK,-0.1909699336196798,0.2856455857000275
BAUT.JK,-0.2728092190866846,0.4269906895219422
ENAK.JK,-0.2018334415617622,0.25439734796389263
NTBK.JK,-0.09042480298858775,0.12046440846649974
ADCP.JK,-0.09210933933918211,0.08428571428571428
SMKM.JK,-0.36569461224724176,0.28105987449270653
NANO.JK,-0.22886507936507933,0.14111842105263167
STAA.JK,-0.054141013692858654,0.05025668574847645
BIKE.JK,-0.13238485497846658,0.17786752505686113
WIRG.JK,-0.2781573426573426,0.5807015437392813
SICO.JK,-0.24772140825932915,0.5211827393032094
GOTO.JK,-0.29088083538083537,0.3300961538461542
TLDN.JK,-0.043109232270351905,0.029850260691448582
MTMH.JK,-0.100454329004329,0.20100717969461027
WINR.JK,-0.2854961326736813,0.1835268505079826
IBOS.JK,-0.16932583170254403,0.36382417582417603
OLIV.JK,-0.2964835164835165,0.2828088235294124
ASHA.JK,-0.2928314044159895,1.1063879721305492
SWID.JK,-0.2233411437032659,0.26525522066230933
ARKO.JK,-0.13521455223880596,0.2061058344640434
CHEM.JK,-0.20251449399856997,0.4019707265859537
TRGU.JK,-0.08343138505125186,0.05729524137651032
DEWI.JK,-0.4591075896580483,0.2929917002012073
KRYA.JK,-0.2848063021132638,0.47480137524165045
HATM.JK,-0.1663996512186807,0.4626962101608856
RCCC.JK,-0.19997547674810978,0.2685263626747944
GULA.JK,-0.14569483834373229,0.20352473540539243
JARR.JK,-0.16996069182389936,0.2553960136375555
AMMS.JK,-0.2839128471438248,0.38099676375404495
RAFI.JK,-0.17739246495871455,0.12429326639520807
ELPI.JK,-0.13572224644618963,0.13641386915975826
EURO.JK,-0.16310863783666268,0.4275627381934862
KKES.JK,-0.2152940743170805,0.1610309533582997
BUAH.JK,-0.11010088484968308,0.1916109447124292
KLIN.JK,-0.22598214285714288,0.2706363636363638
TOOL.JK,-0.14552321981424152,0.06483959899749389
CRAB.JK,-0.04330065884932155,0.04084883526875971
MEDS.JK,-0.19923664122137402,0.3430214115781126
COAL.JK,-0.25980564336728723,0.5425633383010426
PRAY.JK,-0.06602981029810297,0.13299700299700296
