Kode;Date;RoA;Market Cap;RoE;Total Aset;Laba Bersih;Total Ekuitas;Sub Sektor
TRGU.JK;08/07/22;1.35;3.15E+11;4;1.98106E+12;26802289013;6.70057E+11;Food & Beverage
DEWI.JK;18/07/22;7.537;70000000000;8.87;85111029983;6414943557;72321798839;Food & Beverage
KRYA.JK;25/07/22;4.61;40625000000;11.7;1.22731E+11;5657663329;48356096829;Heavy Constructions & Civil
HATM.JK;26/07/22;20.68;1.79E+11;24.369;4.3606E+11;90156413413;3.69964E+11;Logistics & Deliveries
RCCC.JK;02/08/22;22.911;20250000000;31.177;13223866335;3029717426;9717796536;Logistics & Deliveries
GULA.JK;03/08/22;5.32;53518000000;7.69;1.35274E+11;7197000000;93589076723;Food & Beverage
JARR.JK;04/08/22;2.42;3.66885E+11;9.62;3.32103E+12;80270000000;8.34407E+11;Food & Beverage
AMMS.JK;04/08/22;0.62;24000000000;0.65;48423025720;301351432;46361758769;Food & Beverage
RAFI.JK;05/08/22;6.34;1.19459E+11;9.71;80965554693;5129672532;52828759341;Consumer Services
ELPI.JK;08/08/22;1.59;2.224E+11;1.91;1.64442E+12;26130000000;1.36806E+12;Logistics & Deliveries
EURO.JK;08/08/22;9.28;35000000000;13.05;21953036000;2037103000;15609984674;Nondurable Household Products
KKES.JK;08/08/22;3.246;31500000000;10.98;1.19212E+11;3869952332;35245467505;Basic Materials
BUAH.JK;09/08/22;15.22;77600000000;68.07;2.47736E+11;37697353963;55380276132;Food & Staples Retailing 
KLIN.JK;09/08/22;0.23;23000000000;0.42;27123688735;61964873;14753541190;Retailing
TOOL.JK;09/08/22;2.537;52070000000;3.3;1.36535E+11;3463976118;1.04969E+11;Retailing
CRAB.JK;10/08/22;0.8;58500000000;2.52;3.63552E+11;2926421615;1.16128E+11;Food & Beverage
MEDS.JK;10/08/22;5.32;39062500000;7.76;51305204186;2729745532;35177133144;Healthcare Equipment & Providers
COAL.JK;07/09/22;17.387;1.25E+11;44.439;1.97592E+11;35244149000;79309050609;Oil, Gas, & Coal
PRAY.JK;08/11/22;11.077;2.72E+11;14.531;3.12922E+12;3.46632E+11;2.38547E+12;Healthcare Equipment & Providers
