Kode,Date,RoA,Market Cap,RoE,Total Aset,Laba Bersih,Total Ekuitas,Sub Sektor
TRGU.JK,2022-08-07,1.35,315000000000,4.0,1981060000000.0,26802289013.0,670057225325,Food & Beverage
DEWI.JK,2022-07-18,7.537,70000000000,8.87,85111029983.0,6414943557.0,72321798839,Food & Beverage
KRYA.JK,2022-07-25,4.61,40625000000,11.7,122731000000.0,5657663329.0,48356096829,Heavy Constructions & Civil
HATM.JK,2022-07-26,20.68,179000000000,24.369,436060000000.0,90156413413.0,369963533231,Logistics & Deliveries
RCCC.JK,2022-02-08,22.911,20250000000,31.177,13223866335.0,3029717426.0,9717796536,Logistics & Deliveries
GULA.JK,2022-03-08,5.32,53518000000,7.69,135274000000.0,7197000000.0,93589076723,Food & Beverage
JARR.JK,2022-04-08,2.42,366885000000,9.62,3321030000000.0,80270000000.0,834407484407,Food & Beverage
AMMS.JK,2022-04-08,0.62,24000000000,0.65,48423025720.0,301351432.0,46361758769,Food & Beverage
RAFI.JK,2022-05-08,6.34,119459340000,9.71,80965554693.0,5129672532.0,52828759341,Consumer Services
ELPI.JK,2022-08-08,1.59,222400000000,1.91,1644420000000.0,26130000000.0,1368062827225,Logistics & Deliveries
EURO.JK,2022-08-08,9.28,35000000000,13.05,21953036000.0,2037103000.0,15609984674,Nondurable Household Products 
KKES.JK,2022-08-08,3.246,31500000000,10.98,119212000000.0,3869952332.0,35245467505,Basic Materials
BUAH.JK,2022-09-08,15.22,77600000000,68.07,247736000000.0,37697353963.0,55380276132,Food & Staples Retailing 
KLIN.JK,2022-09-08,0.23,23000000000,0.42,27123688735.0,61964873.0,14753541190,Retailing
TOOL.JK,2022-09-08,2.537,52070000000,3.3,136535000000.0,3463976118.0,104968973273,Retailing
CRAB.JK,2022-10-08,0.8,58500000000,2.52,363552000000.0,2926421615.0,116127841865,Food & Beverage
MEDS.JK,2022-10-08,5.32,39062500000,7.76,51305204186.0,2729745532.0,35177133144,Healthcare Equipment & Providers
COAL.JK,2022-07-09,17.387,125000000000,44.439,197592000000.0,35244149000.0,79309050609,"Oil, Gas, & Coal"
PRAY.JK,2022-08-11,11.077,271999800000,14.531,3129220000000.0,346632000000.0,2385465556397,Healthcare Equipment & Providers
OMED.JK,2022-08-11,4.811,828005400000,7.807,1761070000000.0,84731000000.0,1085320865890,Healthcare Equipment & Providers
BELI.JK,2022-08-11,-11.35,7997040000000,-23.475,16886700000000.0,-1916715000000.0,8164920127796,Software & IT Service
BSBK.JK,2022-08-11,0.26,275000000000,0.52,2264980000000.0,5992000000.0,1152307692308,Properties & Real Estate
MKTR.JK,2022-08-11,3.91,300000000000,12.42,672184000000.0,26304647000.0,211792648953,Food & Beverage
CBUT.JK,2022-08-11,2.432,431250000000,37.74,2451810000000.0,59633000000.0,158010068892,Food & Beverage
PDPP.JK,2022-09-11,4.017,100000000000,5.04,300832000000.0,12085020117.0,239782145179,Basic Materials
KDTN.JK,2022-09-11,2.26,37500000000,3.4,45367912371.0,1024168625.0,30122606618,Consumer Services
KETR.JK,2022-10-11,1.985,127860000000,4.03,1418280000000.0,28154823508.0,698630856278,Telecommunication
ZATA.JK,2022-10-11,1.362,170000000000,2.18,559100000000.0,7613000000.0,349220183486,Retailing
NINE.JK,2022-05-12,5.76,32400000000,8.1,23161016471.0,1333301977.0,16460518235,Technology Hardware
MMIX.JK,2022-06-12,23.912,114000000000,39.396,82607739211.0,19752857765.0,50139247043,Healthcare Equipment & Providers
PADA.JK,2022-08-12,0.594,90000000000,2.41,199494000000.0,1184619256.0,49154325975,Industrial Services
ISAP.JK,2022-09-12,0.011,144000000000,0.049,28793000000.0,3043696.0,6211624490,Automobiles & Components
VTNY.JK,2022-12-15,1.07,338320440000,4.69,354526000000.0,3778232736.0,80559333390,Financing Service
BEER.JK,2023-06-01,18.05,176000000000,24.0,61270561863.0,11058064724.0,46075269683,Food & Beverage
CBPE.JK,2023-06-01,2.075,40687500000,3.146,199871000000.0,4147728798.0,131841347680,Property & Real Estate
ELIT.JK,2023-06-01,9.736,60000000000,25.09,50244698600.0,4891941918.0,19497576397,Software & IT Service
SOUL.JK,2023-06-01,1.296,29700000000,1.45,18746882985.0,242945846.0,16754885931,Food & Beverage
